nohup: ignoring input
=== Linux 监控采集器已启动 ===
[系统] 数据库初始化完成: monitor.db
开始循环采集 (按 Ctrl+C 停止)...

[06:39:57] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:40:03] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:40:09] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:40:15] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:40:21] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:40:27] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:40:33] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:40:39] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:40:45] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:40:51] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:40:57] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:41:03] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:41:09] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:41:15] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:41:21] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:41:27] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:41:33] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:41:39] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:41:45] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:41:51] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:41:57] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:42:03] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:42:09] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:42:15] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:42:21] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:42:27] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:42:33] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:42:39] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:42:45] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:42:51] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:42:57] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:43:03] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:43:09] CPU: 1.0% | 内存: 41.7% | 磁盘: 31.4%
[06:43:15] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:43:21] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:43:27] CPU: 1.0% | 内存: 41.7% | 磁盘: 31.4%
[06:43:33] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:43:39] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:43:45] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:43:51] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:43:57] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:44:03] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
